,smiles,qed,SPS,MolWt,MaxPartialCharge,MinPartialCharge,TPSA,MolLogP,MolMR
0,CCOc1ccc(NS(=O)(=O)c2ccc3nc(O)cc(C(=O)N(CCN=[N+]=[N-])C(=O)c4cn[nH]c4-n4cnnn4)c3c2)cc1,0.08388224853772222,11.113636363636363,618.596,0.26569840720952487,-0.49388742861765605,246.94,2.4316000000000004,152.50699999999978
1,N#Cc1ccc(N2C(=O)NC(CCC(=O)N(Nc3ccc(-c4cccc(C(F)(F)F)c4)nn3)C(=O)CCc3ccccc3N=[N+]=[N-])C2=O)cc1,0.06129814818150814,13.96,682.623,0.41593218841404817,-0.32546386604237615,197.15,6.195980000000004,171.7113999999997
2,COc1ccc(N)cc1N(C(=O)Cc1noc(C)c1-c1nn[nH]n1)C(=O)N(C(=O)c1n[nH]c(=O)[nH]c1=O)c1ccccc1OC,0.17360048062057984,10.733333333333333,617.5390000000002,0.3427951868327414,-0.494555031322854,261.27,0.5768200000000004,153.68599999999984
3,Cc1onc(CC(=O)N(C(=O)C2OC(N=[N+]=[N-])C(O)C(O)C2O)c2c(NCc3ccccc3)c(=O)[nH]c(=O)n2Cc2ccccc2)c1-c1nn[nH]n1,0.0591261845493518,19.807692307692307,714.6559999999998,0.32986627517120104,-0.3874846106302033,303.43999999999994,-0.10627999999999987,177.07149999999973
4,O=C(NCC(=O)N(NC(=O)N1CCCCC1Cc1nn[nH]n1)C(=O)c1n[nH]c(=O)c2ccccc12)c1ccc(NS(=O)(=O)c2ccc(Cl)cc2F)cc1,0.13614135664260224,14.377358490566039,766.1720000000001,0.33645946354361983,-0.34287878116132764,245.19999999999993,2.1500999999999992,185.29229999999973
5,COc1cccc(C=C(C(=O)N2CCC(NC(=O)c3cc4c(cc3O)OCO4)(c3cccc(OC(=O)c4cc5c(cc4O)OCO5)c3)C2)n2nnnc2C)c1,0.11189848176543453,16.90909090909091,748.7049999999999,0.34695840226356756,-0.5069724512271746,205.91999999999996,3.633820000000002,189.91629999999958
6,NC(=O)c1cc(C(=O)N(CCN(CCOCCO)C(=O)c2ccnc3nn[nH]c23)C(=O)c2ccnc3nn[nH]c23)on1,0.09734172441755486,11.166666666666666,578.5060000000001,0.2989176196387394,-0.3939803287885527,265.19,-1.459999999999996,137.56359999999998
7,O=C(NCCN(Cc1ccc(OC(=O)c2ccc([N+](=O)[O-])cc2[N+](=O)[O-])nc1)C(=O)c1ccc([N+](=O)[O-])cc1[N+](=O)[O-])c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],0.10242415274246265,10.444444444444445,749.5180000000001,0.3514072255967614,-0.4036813606700982,347.43999999999994,3.8224000000000027,175.5215999999998
8,[N-]=[N+]=NCCCC(=O)NCc1cn(C2CCN(C(=O)c3ccc([N+](=O)[O-])c(NC(=O)c4ccc([N+](=O)[O-])c(N)n4)n3)C2)nn1,0.06578547556995926,14.0,608.536,0.31136829347717576,-0.37793916828585655,296.06,1.5128999999999995,148.82159999999988
9,COc1cc(OC)cc(C(=O)Nc2ccc(O)c(C(=O)N(C(=O)c3ccc(-c4nnn[nH]4)cn3)c3nc4[nH]c(NN)nc4c(=O)[nH]3)c2)c1,0.04950566491497043,10.8125,653.576,0.28581877966005736,-0.5071184197143491,285.00000000000006,0.9691999999999994,166.47419999999988
10,COc1ccc(CCN(CC(=O)Nc2cc(-c3ccc(C4CCCCC4)cc3)nn2-c2ccccc2)c2c(NC(=O)c3cc(CN=[N+]=[N-])cc(N=[N+]=[N-])c3)n(Cc3ccccc3)c(=O)[nH]c2=O)cc1OC,0.039841451265077925,12.253521126760564,954.0649999999997,0.3298508696480224,-0.49286997864249754,250.1,10.1947,271.8365999999997
11,[N-]=[N+]=NC1(C(=O)NCc2cn(C3COCC3CN(C(=O)c3ccc(-c4nnn[nH]4)nc3)C(=O)c3ccnc(N)c3[N+](=O)[O-])nn2)CC1,0.0495968563510205,17.78723404255319,644.5729999999999,0.32336269816116786,-0.37877083422507,304.5799999999999,0.36800000000000066,154.4051999999998
